Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-08-21 16:34:33.569000,4422.58064516,0,4402.90322581,0,4650.0,0,4145.48387097,0,4496.12903226,0,4454.83870968,0,4281.29032258,0,4237.41935484,0,4938.70967742,0,4878.70967742,0,4281.61290323,0,4815.48387097,0,5157.09677419,0,4440.32258065,0,0,0,?
2018-08-21 16:34:33.580000,4379.03225806,0,4328.70967742,0,4546.12903226,0,4137.74193548,0,4451.29032258,0,4413.87096774,0,4229.67741935,0,4193.87096774,0,4795.48387097,0,4764.51612903,0,4253.22580645,0,4712.25806452,0,5103.87096774,0,4397.41935484,0,0,0,?
2018-08-21 16:34:33.583000,4429.03225806,0,4384.83870968,0,4616.12903226,0,4165.16129032,0,4464.83870968,0,4424.83870968,0,4263.87096774,0,4262.58064516,0,4746.4516129,0,4736.12903226,0,4252.58064516,0,4755.48387097,0,5159.03225806,0,4423.5483871,0,0,0,?
2018-08-21 16:34:33.594000,4428.70967742,0,4378.38709677,0,4642.90322581,0,4173.5483871,0,4488.06451613,0,4439.67741935,0,4257.74193548,0,4249.67741935,0,4804.19354839,0,4710.64516129,0,4275.16129032,0,4729.35483871,0,5160.96774194,0,4450.64516129,0,0,0,?
2018-08-21 16:34:33.600000,4364.19354839,0,4335.16129032,0,4562.90322581,0,4100.32258065,0,4437.74193548,0,4362.58064516,0,4217.41935484,0,4215.48387097,0,4703.5483871,0,4547.74193548,0,4261.61290323,0,4656.12903226,0,5083.5483871,0,4372.90322581,0,0,0,?
2018-08-21 16:34:33.608000,4372.90322581,0,4368.06451613,0,4601.61290323,0,4110.96774194,0,4485.16129032,0,4432.90322581,0,4263.22580645,0,4236.4516129,0,4712.25806452,0,4487.41935484,0,4228.38709677,0,4697.41935484,0,5120.96774194,0,4389.03225806,0,0,0,?
2018-08-21 16:34:33.613000,4328.70967742,0,4323.22580645,0,4567.74193548,0,4061.93548387,0,4446.4516129,0,4391.61290323,0,4243.22580645,0,4240.0,0,4733.87096774,0,4461.29032258,0,4225.80645161,0,4663.5483871,0,5103.5483871,0,4365.16129032,0,0,0,?
2018-08-21 16:34:33.625000,4315.80645161,0,4303.22580645,0,4530.96774194,0,4006.4516129,0,4463.87096774,0,4324.51612903,0,4200.32258065,0,4243.5483871,0,4790.96774194,0,4515.16129032,0,4219.03225806,0,4632.90322581,0,5038.06451613,0,4333.87096774,0,0,0,?
2018-08-21 16:34:33.631000,4279.67741935,0,4304.19354839,0,4520.96774194,0,4013.87096774,0,4424.51612903,0,4340.0,0,4210.96774194,0,4199.67741935,0,4741.61290323,0,4520.96774194,0,4238.70967742,0,4648.38709677,0,5039.03225806,0,4328.06451613,0,0,0,?
2018-08-21 16:34:33.640000,4370.0,0,4377.09677419,0,4610.64516129,0,4051.29032258,0,4492.25806452,0,4400.0,0,4242.58064516,0,4230.96774194,0,4811.93548387,0,4506.4516129,0,4234.19354839,0,4710.32258065,0,5145.16129032,0,4387.41935484,0,0,0,?
